id,source_id,set_id,updated_at
onepiece:optcg:P-088:en,P-088,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-088:ja,P-088,P,2026-06-15 22:12:12.512018+00
onepiece:optcg:P-089:en,P-089,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-089:ja,P-089,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-090:en,P-090,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-090:ja,P-090,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-091:en,P-091,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-091:ja,P-091,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-092:ja,P-092,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-092:en,P-092,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-093:en,P-093,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-096:ja,P-096,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-096:en,P-096,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-097:en,P-097,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-097:ja,P-097,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-098:ja,P-098,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-098:en,P-098,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-099:ja,P-099,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-099:en,P-099,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-100:ja,P-100,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-100:en,P-100,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-101:en,P-101,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-101:ja,P-101,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-102:en,P-102,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-102:ja,P-102,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-103:en,P-103,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-103:ja,P-103,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-104:ja,P-104,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-104:en,P-104,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-105:en,P-105,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-105:ja,P-105,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-106:en,P-106,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-106:ja,P-106,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-107:en,P-107,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-107:ja,P-107,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-111:ja,P-111,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-111:en,P-111,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-112:en,P-112,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-112:ja,P-112,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-113:en,P-113,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-113:ja,P-113,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-114:en,P-114,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-115:ja,P-115,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-115:en,P-115,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-117:ja,P-117,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-117:en,P-117,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-119:ja,P-119,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-119:en,P-119,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-135:ja,P-135,P,2026-06-15 22:12:14.526155+00
onepiece:optcg:P-136:en,P-136,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-138:en,P-138,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-139:en,P-139,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-140:en,P-140,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-142:en,P-142,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-147:en,P-147,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-148:en,P-148,P,2026-05-29 14:57:08.109+00
onepiece:optcg:P-700:en,P-700,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-800:en,P-800,P,2026-05-29 14:57:08.108+00
onepiece:optcg:P-900:en,P-900,P,2026-05-29 14:57:08.108+00
onepiece:optcg:ST01-004:ja,ST01-004,P,2026-06-15 17:16:16.534701+00
onepiece:optcg:ST01-007:ja,ST01-007,P,2026-06-15 17:16:16.534701+00
onepiece:optcg:ST01-009:ja,ST01-009,P,2026-06-15 17:16:16.534701+00
onepiece:optcg:ST01-011:ja,ST01-011,P,2026-06-15 17:16:16.534701+00
onepiece:optcg:ST01-012:ja,ST01-012,P,2026-06-15 17:16:16.534701+00
onepiece:optcg:ST01-015:ja,ST01-015,P,2026-06-15 17:16:16.534701+00
onepiece:optcg:ST02-007:ja,ST02-007,P,2026-06-15 17:16:15.417924+00
onepiece:optcg:ST02-008:ja,ST02-008,P,2026-06-15 17:16:15.417924+00
onepiece:optcg:ST02-013:ja,ST02-013,P,2026-06-15 17:16:15.417924+00
onepiece:optcg:ST03-003:ja,ST03-003,P,2026-06-15 17:16:12.465283+00
onepiece:optcg:ST03-005:ja,ST03-005,P,2026-06-15 17:15:56.420159+00
onepiece:optcg:ST03-007:ja,ST03-007,P,2026-06-15 17:16:12.465283+00
onepiece:optcg:ST03-008:ja,ST03-008,P,2026-06-15 17:15:56.420159+00
onepiece:optcg:ST03-014:ja,ST03-014,P,2026-06-15 17:16:12.465283+00
onepiece:optcg:ST04-003:ja,ST04-003,P,2026-06-15 17:16:11.493297+00
onepiece:optcg:ST04-008:ja,ST04-008,P,2026-06-15 17:16:11.493297+00
onepiece:optcg:ST04-010:ja,ST04-010,P,2026-06-15 17:16:11.493297+00
onepiece:optcg:ST04-011:ja,ST04-011,P,2026-06-15 17:16:11.493297+00
onepiece:optcg:ST06-006:ja,ST06-006,P,2026-06-15 17:16:09.517792+00
onepiece:optcg:ST07-008:ja,ST07-008,P,2026-06-15 17:16:07.956284+00
onepiece:optcg:ST10-006:ja,ST10-006,P,2026-06-15 17:16:03.502381+00
onepiece:optcg:ST10-008:ja,ST10-008,P,2026-06-15 17:16:03.502381+00
